"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.184222500E0,-1.026617579E-2,2.653940088E-1,-4.235741145E0
3.194204500E0,-4.200630588E-3,2.207261051E-1,-3.786080321E0
3.204186500E0,-2.045500388E-2,1.785491154E-1,-3.325968184E0
3.214168500E0,-3.321632364E-2,1.103853451E-1,-2.771307739E0
3.224151083E0,-2.419618037E-2,3.596783146E-2,-2.018648878E0
3.234133083E0,1.332942244E-2,-3.821330845E-2,-1.128035488E0
3.244115083E0,1.711878363E-2,-9.783020362E-2,-2.840413642E-1
3.254097083E0,-9.597747680E-3,-1.415160674E-1,4.840254951E-1
3.264079083E0,-4.189776694E-2,-1.660088843E-1,1.253099830E0
3.274060083E0,-1.277817618E-2,-1.926429516E-1,2.083751192E0
3.284042083E0,2.980526816E-2,-2.066271526E-1,2.858576263E0
3.294024083E0,4.475592250E-2,-2.101533160E-1,3.470251154E0
3.304006083E0,4.612429887E-3,-1.994646057E-1,3.898384869E0
3.313988083E0,-2.533043057E-2,-1.917597297E-1,4.207339464E0
3.323970083E0,3.484209627E-3,-2.106091064E-1,4.433432583E0
3.333952083E0,4.049268102E-2,-2.401340371E-1,4.548306981E0
3.343934083E0,5.270864742E-2,-2.805064300E-1,4.451843126E0
3.353916083E0,3.150083279E-2,-3.118542302E-1,4.153718158E0
3.363897083E0,-2.160664955E-2,-3.497655299E-1,3.710911440E0
3.373879083E0,-1.448644023E-2,-4.094080067E-1,3.177210925E0
3.383861083E0,3.041434703E-2,-4.448544127E-1,2.572836283E0
3.393843083E0,4.091949122E-2,-4.646609786E-1,1.916136078E0
3.403825083E0,-2.734304219E-4,-4.665497755E-1,1.086244268E0
3.413807083E0,-3.323738275E-2,-4.382366802E-1,1.819635969E-1
3.423789083E0,-2.022954804E-2,-3.882852325E-1,-6.115240324E-1
3.433771083E0,3.733712146E-3,-3.297696604E-1,-1.339955540E0
3.443753083E0,6.118224962E-3,-2.376321597E-1,-2.053409405E0
3.453735083E0,-2.694561426E-2,-1.317352836E-1,-2.761913018E0
3.463716083E0,-4.482616218E-2,-1.884820729E-2,-3.399768232E0
3.473698083E0,-3.979424025E-2,6.222314537E-2,-3.851797763E0
3.483680083E0,-2.162052755E-2,1.532629775E-1,-4.107284834E0
3.493662083E0,-2.414049021E-2,2.095783885E-1,-4.296992483E0
3.503644083E0,-3.180232528E-2,2.594023669E-1,-4.438148947E0
3.513626083E0,-3.534437209E-2,2.782032117E-1,-4.389446318E0
3.523608083E0,-2.711831725E-2,2.666094987E-1,-4.113546617E0
3.533590083E0,-1.174902968E-2,2.297549370E-1,-3.697613702E0
3.543572083E0,-6.617430998E-3,1.797686984E-1,-3.217552620E0
3.553553083E0,-2.324492974E-2,1.217438538E-1,-2.685787532E0
3.563535083E0,-3.318973708E-2,5.655310035E-2,-2.038545783E0
3.573517083E0,-7.286334196E-3,-1.273772076E-2,-1.222531756E0
3.583499083E0,1.711230601E-2,-6.835322008E-2,-3.816349018E-1
3.593481083E0,7.341051344E-3,-1.173948410E-1,3.766513199E-1
3.603463083E0,-2.717572046E-2,-1.453109103E-1,1.125709466E0
3.613445083E0,-2.322088307E-2,-1.610767579E-1,1.882122239E0
3.623427083E0,1.167789465E-2,-1.759763405E-1,2.611442524E0
3.633409083E0,4.019151287E-2,-1.820454580E-1,3.228950597E0
3.643390083E0,2.499361267E-2,-1.838195032E-1,3.699025805E0
3.653372083E0,-3.505551964E-3,-1.847381008E-1,4.005565501E0
3.663354083E0,-1.455808690E-2,-1.935542402E-1,4.218180787E0
3.673336083E0,1.203141365E-2,-2.219094354E-1,4.312492282E0
3.683318083E0,4.229663841E-2,-2.595617035E-1,4.269835675E0
3.693300083E0,4.127628101E-2,-3.040940979E-1,4.034851865E0
3.703282083E0,-3.377607577E-3,-3.280042398E-1,3.631431407E0
3.713264083E0,-1.940067781E-2,-3.717434594E-1,3.100360969E0
3.723246083E0,6.518457737E-3,-4.065931571E-1,2.519236611E0
3.733228083E0,3.315829916E-2,-4.230811357E-1,1.889783846E0
3.743209083E0,1.489804767E-2,-4.301822868E-1,1.151825470E0
3.753191083E0,-1.760407512E-2,-4.039125010E-1,3.125149655E-1
3.763173083E0,-2.404741441E-2,-3.522267692E-1,-4.871157485E-1
3.773155083E0,3.453237657E-4,-2.923062573E-1,-1.224378306E0
